2019/04/25 12:32:26+00,Alva Boat Ramp,Lee,Yes,,26.71394,-81.60612,Dominant taxon: Microcystis aeruginosa,0.87 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin: not detected
2019/04/24 14:10:00+00,Scott Lake - Center of lake,Polk,Yes,Bloom throughout entire lake,27.9652725196794,-81.9394884092614,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/29 16:40:00+00,Lake Elam - Center of lake,Pasco,Yes,System extremely turbid throughout entirety of lake,28.2796273498322,-82.3205216369206,Co-dominant taxa were: Microcystis aeruginosa and Aphanocapsa delicatissima,0.78 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin: not detected
2019/04/29 14:45:00+00,"Malaga Canal and Del Prado, Cape Coral",Lee,Yes,No visible alage,26.5662452043797,-81.9436703917491,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/29 14:15:00+00,"Town and River Rd, Fort Myers",Lee,Yes,specks visible,26.5437213427446,-81.9214509891,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/29 16:15:00+00,Lake Weir,Marion,No,"Previous orange/brown bloom has mostly receded. Highest concentration found near boat ramp on West side of Lake.  Easterly winds.  Rain events between 4/17 to 4/23 total about 5""",29.01652,-81.96345,Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin: not detected
2019/04/29 18:55:00+00,Ortega River at Marina,Duval,No,"not visible, not much brown particulate in water, oxygen 107%",30.27599857,-81.71672168,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/30 13:44:59+00,LaBelle Boat Ramp,Hendry,Yes,Algae throughout river and water column. Slick only present in windblown coves,26.7700580600898,-81.4406987094147,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin: not detected
2019/04/30 13:54:00+00,Franklin Locks Upstream,Lee,Yes,Algae in water column.,26.72108957,-81.69276157,Dominant taxon: Microcystis aeruginosa,0.39 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin: not detected
2019/04/30 14:28:00+00,Davis Boat Ramp,Lee,No,,26.71146897,-81.75336033,-,-,-,,
2019/04/30 13:31:00+00,Alva Boat Ramp,Lee,No,,26.71386897,-81.60597094,-,-,-,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/245/attachments/214?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,
2019/04/29 13:40:00+00,SJP,Putnam,Yes,,29.6443611111111,-81.6259444444444,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.36,Saxitoxin/Paralytic Shellfish Toxins: 0.53
2019/04/29 14:06:59+00,FEDERAL POINT,Putnam,Yes,,29.77875,-81.5457111111111,Dominant taxon: Aphanizomenon flos-aquae,0.17 J (J qualifier indicates an estimated value),Anatoxin-a: not detected,Cylindrospermopsin: 0.37,Saxitoxin/Paralytic Shellfish Toxins: 0.60
2019/04/29 14:45:00+00,FISH CREEK,Putnam,Yes,,29.7087222222222,-81.5994083333333,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.37,Saxitoxin/Paralytic Shellfish Toxins: 0.45
2019/04/29 15:24:59+00,BUZZARD ISLAND,Putnam,Yes,,29.6037777777778,-81.6053861111111,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.29,Saxitoxin/Paralytic Shellfish Toxins: 0.55
2019/04/29 15:36:00+00,DNC,Putnam,Yes,,29.5630555555556,-81.6258333,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.32,Saxitoxin/Paralytic Shellfish Toxins: 0.50
2019/04/29 15:59:59+00,BB22,Putnam,Yes,,29.5960277777778,-81.6784166666667,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.35,Saxitoxin/Paralytic Shellfish Toxins: 0.50
2019/04/29 11:26:00+00,KNIGHT'S LANDING,Clay,Yes,,30.0406944444444,-81.7071111111111,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/29 13:18:59+00,SRP,StJohns,Yes,,29.80169,-81.55453,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.43,Saxitoxin/Paralytic Shellfish Toxins: 0.78
2019/04/29 14:02:00+00,SJWSIL,StJohns,Yes,,29.8941388888889,-81.5939166666667,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.15
2019/04/29 14:22:00+00,SJR at Shand's Bridge,StJohns,Yes,,29.9812777777778,-81.6216388888889,Dominant taxon: Planctonema lauterbornii,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.08,Saxitoxin/Paralytic Shellfish Toxins: 0.12
2019/04/29 14:54:00+00,SJRHBP,StJohns,Yes,,30.0659166666667,-81.6870277777778,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/29 14:29:59+00,Lake Hicpochee at Boat Ramp,Glades,No,No algae was visible on the surface or in the water column.,26.79622,-81.13156,-,-,-,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/257/attachments/225?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,
2019/05/01 17:29:59+00,Tarpon St. Pier,Lee,Yes,filamentous algae,26.66225975,-81.84743707,Dominant taxon: Compsopogon coeruleus,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin: not detected
2019/05/01 18:08:00+00,Rio Vista and McGregor,Lee,Yes,algae present in water column,26.59780343,-81.89467334,Dominant taxon: Cuspidothrix issatschenkoi,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin: not detected
2019/05/01 15:46:59+00,BUZZARD 2,Putnam,Yes,,29.60509,-81.5999,Dominant taxon: Aphanizomenon flos-aquae,0.16,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.28,Saxitoxin/Paralytic Shellfish Toxins: 0.4
2019/05/01 15:20:00+00,POWERPLANT @ SJR,Putnam,Yes,,29.7089722222222,-81.6239611111111,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.29,Saxitoxin/Paralytic Shellfish Toxins: 0.36
2019/05/01 15:53:00+00,CM13,Putnam,Yes,,29.59646,-81.60803,Dominant taxon: Aphanizomenon flos-aquae,0.19,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.29,Saxitoxin/Paralytic Shellfish Toxins: 0.40
2019/05/02 14:57:00+00,RIVERDALE,StJohns,Yes,,29.8048111111111,-81.5530638888889,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.42,Saxitoxin/Paralytic Shellfish Toxins: 1.2
2019/05/02 19:25:00+00,Placida-Fishery Road,Charlotte,Yes,,26.8295630702818,-82.2635745300611,Dominant taxon: Bulbochaete sp.,not collected,not collected,,
2019/04/30 15:59:59+00,SE Tom Adam's Bridge Lemon Bay,Charlotte,Yes,,26.9351888419834,-82.3515917892649,Dominant taxon: filamentous cyanobacteria (Lyngbya wollei),not collected,not collected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/265/attachments/235?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,
2019/05/06 13:25:00+00,Riverbend Community,Lee,No,No Cyanobacteria present at time of observation. Area is tidally influences,26.6829450828831,-81.8545494007868,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
